CATEGORY,ARTICLE,DESCRIPTION,DATE,SALES,YEAR,MONTH,QUARTER,MONTH_NAME,IS_HOLIDAY_SEASON
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-08-01,27.0,2018,8,3,August,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-08-01,318.0,2018,8,3,August,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-09-01,5.0,2018,9,3,September,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-09-01,356.0,2018,9,3,September,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-10-01,109.0,2018,10,4,October,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-10-01,786.0,2018,10,4,October,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-11-01,10.0,2018,11,4,November,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-11-01,6.0,2018,11,4,November,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-12-01,0.0,2018,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-12-01,10.0,2018,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-01-01,23.0,2019,1,1,January,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-01-01,20.0,2019,1,1,January,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-02-01,127.0,2019,2,1,February,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-02-01,114.0,2019,2,1,February,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-03-01,64.0,2019,3,1,March,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-03-01,160.0,2019,3,1,March,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-04-01,10.0,2019,4,2,April,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-04-01,4.0,2019,4,2,April,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-05-01,13.0,2019,5,2,May,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-05-01,95.0,2019,5,2,May,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-06-01,14.0,2019,6,2,June,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-06-01,17.0,2019,6,2,June,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-07-01,64.0,2019,7,3,July,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-07-01,550.0,2019,7,3,July,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-08-01,2.0,2019,8,3,August,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-08-01,8.0,2019,8,3,August,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-09-01,30.0,2019,9,3,September,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-09-01,378.0,2019,9,3,September,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-10-01,5.0,2019,10,4,October,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-10-01,15.0,2019,10,4,October,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-11-01,1.0,2019,11,4,November,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-11-01,7.0,2019,11,4,November,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2019-12-01,0.0,2019,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2019-12-01,0.0,2019,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-01-01,15.0,2020,1,1,January,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-01-01,24.0,2020,1,1,January,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-02-01,33.0,2020,2,1,February,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-02-01,151.0,2020,2,1,February,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-03-01,0.0,2020,3,1,March,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-03-01,42.0,2020,3,1,March,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-04-01,0.0,2020,4,2,April,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-04-01,0.0,2020,4,2,April,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-05-01,0.0,2020,5,2,May,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-05-01,0.0,2020,5,2,May,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-06-01,0.0,2020,6,2,June,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-06-01,96.0,2020,6,2,June,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-07-01,4.0,2020,7,3,July,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-07-01,2.0,2020,7,3,July,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-08-01,8.0,2020,8,3,August,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-08-01,89.0,2020,8,3,August,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-09-01,3.0,2020,9,3,September,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-09-01,10.0,2020,9,3,September,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-10-01,8.0,2020,10,4,October,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-10-01,42.0,2020,10,4,October,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-11-01,68.0,2020,11,4,November,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-11-01,22.0,2020,11,4,November,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2020-12-01,11.0,2020,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2020-12-01,51.0,2020,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-01-01,17.0,2021,1,1,January,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-01-01,61.0,2021,1,1,January,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-02-01,14.0,2021,2,1,February,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-02-01,214.0,2021,2,1,February,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-03-01,9.0,2021,3,1,March,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-03-01,240.0,2021,3,1,March,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-04-01,0.0,2021,4,2,April,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-04-01,4.0,2021,4,2,April,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-05-01,0.0,2021,5,2,May,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-05-01,31.0,2021,5,2,May,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-06-01,36.0,2021,6,2,June,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-06-01,139.0,2021,6,2,June,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-07-01,7.0,2021,7,3,July,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-07-01,2.0,2021,7,3,July,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-08-01,0.0,2021,8,3,August,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-08-01,7.0,2021,8,3,August,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-09-01,40.0,2021,9,3,September,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-09-01,140.0,2021,9,3,September,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-10-01,0.0,2021,10,4,October,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-10-01,35.0,2021,10,4,October,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-11-01,7.0,2021,11,4,November,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-11-01,147.0,2021,11,4,November,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2021-12-01,1.0,2021,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2021-12-01,33.0,2021,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2022-01-01,13.0,2022,1,1,January,0
